service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20150831,20151108
2,0,0,0,0,0,1,1,20150831,20151108
3,1,1,1,1,1,0,0,20151109,20160327
4,0,0,0,0,0,1,1,20151109,20160115
5,1,1,1,1,1,0,0,20151216,20160424
6,0,0,0,0,0,1,1,20160116,20160327
7,1,1,1,1,1,0,0,20160328,20160424
8,0,0,0,0,0,1,1,20160328,20160424
10,1,1,1,1,0,0,1,20160425,20171001
11,0,0,0,0,1,1,0,20160425,20171001
12,0,0,0,0,0,1,1,20160425,20171001
9,1,1,1,1,1,0,0,20160425,20171001
13,1,1,1,1,1,0,0,20160425,20160828
14,1,1,1,1,1,0,0,20160829,20170514
15,1,1,1,1,1,0,0,20170515,20171001
