trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
11-16-26-1,07:50:00,07:50:00,300c,0,0,0,1
11-16-26-1,07:50:45,07:50:45,217b,1,3,3,0
11-16-26-1,07:51:10,07:51:10,212b,2,3,3,0
11-16-26-1,07:51:30,07:51:30,201b,3,3,3,0
11-16-26-1,07:51:40,07:51:40,220a,4,3,3,0
11-16-26-1,07:52:00,07:52:00,223a,5,3,3,0
11-16-26-1,07:52:30,07:52:30,224a,6,3,3,0
11-16-26-1,07:53:00,07:53:00,225a,7,3,3,0
11-16-26-1,07:53:30,07:53:30,226a,8,3,3,0
11-16-26-1,07:54:00,07:54:00,227a,9,3,3,0
11-16-26-1,07:54:20,07:54:20,228a,10,3,3,0
11-16-26-1,07:55:20,07:55:20,270a,11,3,3,0
11-16-26-1,07:55:50,07:55:50,271a,12,3,3,0
11-16-26-1,07:56:30,07:56:30,272a,13,3,3,0
11-16-26-1,07:57:10,07:57:10,273a,14,3,3,0
11-16-26-1,07:57:40,07:57:40,274a,15,3,3,0
11-16-26-1,07:58:10,07:58:10,275a,16,3,3,0
11-16-26-1,07:58:40,07:58:40,276a,17,3,3,0
11-16-26-1,07:59:45,07:59:45,327b,18,3,3,0
11-16-26-1,08:00:00,08:00:00,325b,19,3,3,0
11-16-26-1,08:00:15,08:00:15,324b,20,3,3,0
11-16-26-1,08:00:30,08:00:30,322b,21,3,3,0
11-16-26-1,08:01:00,08:01:00,320b,22,3,3,0
11-16-26-1,08:01:20,08:01:20,308b,23,3,3,0
11-16-26-1,08:01:40,08:01:40,307b,24,3,3,0
11-16-26-1,08:02:10,08:02:10,305b,25,3,3,0
11-16-26-1,08:02:30,08:02:30,304b,26,3,3,0
11-16-26-1,08:05:30,08:05:30,300c,27,3,3,0
11-16-26-10,13:50:00,13:50:00,300c,0,0,0,1
11-16-26-10,13:50:45,13:50:45,217b,1,3,3,0
11-16-26-10,13:51:10,13:51:10,212b,2,3,3,0
11-16-26-10,13:51:30,13:51:30,201b,3,3,3,0
11-16-26-10,13:51:40,13:51:40,220a,4,3,3,0
11-16-26-10,13:52:00,13:52:00,223a,5,3,3,0
11-16-26-10,13:52:30,13:52:30,224a,6,3,3,0
11-16-26-10,13:53:00,13:53:00,225a,7,3,3,0
11-16-26-10,13:53:30,13:53:30,226a,8,3,3,0
11-16-26-10,13:54:00,13:54:00,227a,9,3,3,0
11-16-26-10,13:54:20,13:54:20,228a,10,3,3,0
11-16-26-10,13:55:20,13:55:20,270a,11,3,3,0
11-16-26-10,13:55:50,13:55:50,271a,12,3,3,0
11-16-26-10,13:56:30,13:56:30,272a,13,3,3,0
11-16-26-10,13:57:10,13:57:10,273a,14,3,3,0
11-16-26-10,13:57:40,13:57:40,274a,15,3,3,0
11-16-26-10,13:58:10,13:58:10,275a,16,3,3,0
11-16-26-10,13:58:40,13:58:40,276a,17,3,3,0
11-16-26-10,13:59:45,13:59:45,327b,18,3,3,0
11-16-26-10,14:00:00,14:00:00,325b,19,3,3,0
11-16-26-10,14:00:15,14:00:15,324b,20,3,3,0
11-16-26-10,14:00:30,14:00:30,322b,21,3,3,0
11-16-26-10,14:01:00,14:01:00,320b,22,3,3,0
11-16-26-10,14:01:20,14:01:20,308b,23,3,3,0
11-16-26-10,14:01:40,14:01:40,307b,24,3,3,0
11-16-26-10,14:02:10,14:02:10,305b,25,3,3,0
11-16-26-10,14:02:30,14:02:30,304b,26,3,3,0
11-16-26-10,14:05:30,14:05:30,300c,27,3,3,0
11-16-26-11,14:30:00,14:30:00,300c,0,0,0,1
11-16-26-11,14:30:45,14:30:45,217b,1,3,3,0
11-16-26-11,14:31:10,14:31:10,212b,2,3,3,0
11-16-26-11,14:31:30,14:31:30,201b,3,3,3,0
11-16-26-11,14:31:40,14:31:40,220a,4,3,3,0
11-16-26-11,14:32:00,14:32:00,223a,5,3,3,0
11-16-26-11,14:32:30,14:32:30,224a,6,3,3,0
11-16-26-11,14:33:00,14:33:00,225a,7,3,3,0
11-16-26-11,14:33:30,14:33:30,226a,8,3,3,0
11-16-26-11,14:34:00,14:34:00,227a,9,3,3,0
11-16-26-11,14:34:20,14:34:20,228a,10,3,3,0
11-16-26-11,14:35:20,14:35:20,270a,11,3,3,0
11-16-26-11,14:35:50,14:35:50,271a,12,3,3,0
11-16-26-11,14:36:30,14:36:30,272a,13,3,3,0
11-16-26-11,14:37:10,14:37:10,273a,14,3,3,0
11-16-26-11,14:37:40,14:37:40,274a,15,3,3,0
11-16-26-11,14:38:10,14:38:10,275a,16,3,3,0
11-16-26-11,14:38:40,14:38:40,276a,17,3,3,0
11-16-26-11,14:39:45,14:39:45,327b,18,3,3,0
11-16-26-11,14:40:00,14:40:00,325b,19,3,3,0
11-16-26-11,14:40:15,14:40:15,324b,20,3,3,0
11-16-26-11,14:40:30,14:40:30,322b,21,3,3,0
