route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,15,16-25-39-1,to DuPont Transit Center,0,43,39
1,15,16-25-39-2,to DuPont Transit Center,0,44,39
1,15,16-25-39-3,to DuPont Transit Center,0,46,39
1,15,16-25-39-4,to DuPont Transit Center,0,45,39
1,15,16-25-40-1,to Madigan,1,43,40
1,15,16-25-40-2,to Madigan,1,44,40
1,15,16-25-40-3,to Madigan,1,46,40
1,15,16-25-40-4,to Madigan,1,45,40
1,15,16-26-39-10,to DuPont Transit Center,0,43,39
1,15,16-26-39-11,to DuPont Transit Center,0,46,39
1,15,16-26-39-12,to DuPont Transit Center,0,46,39
1,15,16-26-39-13,to DuPont Transit Center,0,46,39
1,15,16-26-39-14,to DuPont Transit Center,0,46,39
1,15,16-26-39-15,to DuPont Transit Center,0,46,39
1,15,16-26-39-16,to DuPont Transit Center,0,46,39
1,15,16-26-39-17,to DuPont Transit Center,0,44,39
1,15,16-26-39-18,to DuPont Transit Center,0,44,39
1,15,16-26-39-19,to DuPont Transit Center,0,44,39
1,15,16-26-39-20,to DuPont Transit Center,0,44,39
1,15,16-26-39-21,to DuPont Transit Center,0,44,39
1,15,16-26-39-22,to DuPont Transit Center,0,44,39
1,15,16-26-39-23,to DuPont Transit Center,0,45,39
1,15,16-26-39-24,to DuPont Transit Center,0,45,39
1,15,16-26-39-25,to DuPont Transit Center,0,45,39
1,15,16-26-39-26,to DuPont Transit Center,0,45,39
1,15,16-26-39-27,to DuPont Transit Center,0,45,39
1,15,16-26-39-28,to DuPont Transit Center,0,45,39
1,15,16-26-39-29,to DuPont Transit Center,0,45,39
1,15,16-26-39-5,to DuPont Transit Center,0,43,39
1,15,16-26-39-6,to DuPont Transit Center,0,43,39
1,15,16-26-39-7,to DuPont Transit Center,0,43,39
1,15,16-26-39-8,to DuPont Transit Center,0,43,39
1,15,16-26-39-9,to DuPont Transit Center,0,43,39
1,15,16-26-40-10,to Madigan,1,43,40
1,15,16-26-40-11,to Madigan,1,46,40
1,15,16-26-40-12,to Madigan,1,46,40
1,15,16-26-40-13,to Madigan,1,46,40
1,15,16-26-40-14,to Madigan,1,46,40
1,15,16-26-40-15,to Madigan,1,46,40
1,15,16-26-40-16,to Madigan,1,46,40
1,15,16-26-40-17,to Madigan,1,46,40
1,15,16-26-40-18,to Madigan,1,44,40
1,15,16-26-40-19,to Madigan,1,44,40
1,15,16-26-40-20,to Madigan,1,44,40
1,15,16-26-40-21,to Madigan,1,44,40
1,15,16-26-40-22,to Madigan,1,44,40
1,15,16-26-40-23,to Madigan,1,44,40
1,15,16-26-40-24,to Madigan,1,45,40
1,15,16-26-40-25,to Madigan,1,45,40
1,15,16-26-40-26,to Madigan,1,45,40
1,15,16-26-40-27,to Madigan,1,45,40
1,15,16-26-40-28,to Madigan,1,45,40
1,15,16-26-40-29,to Madigan,1,45,40
1,15,16-26-40-5,to Madigan,1,43,40
1,15,16-26-40-6,to Madigan,1,43,40
1,15,16-26-40-7,to Madigan,1,43,40
1,15,16-26-40-8,to Madigan,1,43,40
1,15,16-26-40-9,to Madigan,1,43,40
1,15,16-27-39-30,to DuPont Transit Center,0,43,39
1,15,16-27-39-31,to DuPont Transit Center,0,43,39
1,15,16-27-39-32,to DuPont Transit Center,0,46,39
1,15,16-27-39-33,to DuPont Transit Center,0,44,39
1,15,16-27-39-34,to DuPont Transit Center,0,44,39
1,15,16-27-39-35,to DuPont Transit Center,0,45,39
1,15,16-27-39-36,to DuPont Transit Center,0,45,39
1,15,16-27-40-30,to Madigan,1,43,40
1,15,16-27-40-31,to Madigan,1,46,40
1,15,16-27-40-32,to Madigan,1,46,40
1,15,16-27-40-33,to Madigan,1,44,40
1,15,16-27-40-34,to Madigan,1,44,40
1,15,16-27-40-35,to Madigan,1,45,40
1,15,16-27-40-36,to Madigan,1,45,40
1,15,16-28-39-37,to DuPont Transit Center,0,43,39
1,15,16-28-40-37,to Madigan,1,44,40
2,9,9-10-8-4,to McChord Dining,0,27,8
2,9,9-10-8-5,to McChord Dining,0,27,8
2,9,9-10-8-6,to McChord Dining,0,27,8
2,9,9-10-9-4,to McChord Lodging,1,27,9
2,9,9-10-9-5,to McChord Lodging,1,27,9
2,9,9-11-19-1,to Lakewood,0,27,19
2,15,16-25-35-12,to Lakewood,0,43,35
2,15,16-25-35-13,to Lakewood,0,44,35
2,15,16-25-35-14,to Lakewood,0,46,35
2,15,16-25-35-15,to Lakewood,0,45,35
2,15,16-25-36-11,to Madigan,1,44,36
2,15,16-25-36-12,to Madigan,1,46,36
2,15,16-25-36-13,to Madigan,1,45,36
2,15,16-26-37-27,to McChord Field,0,43,37
2,15,16-26-37-28,to McChord Field,0,43,37
2,15,16-26-37-29,to McChord Field,0,43,37
2,15,16-26-37-30,to McChord Field,0,43,37
2,15,16-26-37-31,to McChord Field,0,43,37
2,15,16-26-37-32,to McChord Field,0,43,37
2,15,16-26-37-33,to McChord Field,0,43,37
2,15,16-26-37-34,to McChord Field,0,46,37
2,15,16-26-37-35,to McChord Field,0,46,37
2,15,16-26-37-36,to McChord Field,0,46,37
2,15,16-26-37-37,to McChord Field,0,46,37
2,15,16-26-37-38,to McChord Field,0,46,37
2,15,16-26-37-39,to McChord Field,0,46,37
2,15,16-26-37-40,to McChord Field,0,44,37
2,15,16-26-37-41,to McChord Field,0,44,37
2,15,16-26-37-42,to McChord Field,0,44,37
2,15,16-26-37-43,to McChord Field,0,44,37
