OPERATION,NWF_ID,EXTERNAL_CUSTOMER_ID,ICON_NAME,LANDMARK_NAME,LATITUDE,LONGITUDE,ADDRESS,FENCE_RADIUS,FENCE_RADIUS_UNITS,TYPE,LANDMARK_CATEGORY,SHOW_ON_OVERVIEW,LANDMARK_ONLY,PRIVATE_USER_ID
CREATE,,100a,bus,Madigan Hospital (a),47.10863333333334,-122.55411111111111,,100,F,Customer,Stop,YES,No,
CREATE,,100b,bus,Madigan Hospital (b),47.108669444444445,-122.55395277777778,,100,F,Customer,Stop,YES,No,
CREATE,,101a,bus,SFAC and WTB (a),47.10570277777778,-122.554025,,100,F,Customer,Stop,YES,No,
CREATE,,101b,bus,SFAC and WTB (b),47.105602777777776,-122.55356944444443,,100,F,Customer,Stop,YES,No,
CREATE,,110a,bus,Madigan HHC (a),47.10609166666667,-122.54540277777778,,100,F,Customer,Stop,YES,No,
CREATE,,110b,bus,Madigan HHC (b),47.10617222222222,-122.54525833333334,,100,F,Customer,Stop,YES,No,
CREATE,,112a,bus,Fisher House (a),47.10152777777778,-122.54395555555556,,100,F,Customer,Stop,YES,No,
CREATE,,112b,bus,Fisher House (b),47.10158333333334,-122.54383333333332,,100,F,Customer,Stop,YES,No,
CREATE,,113a,bus,Madigan Annex (a),47.10096388888889,-122.54009444444445,,100,F,Customer,Stop,YES,No,
CREATE,,113b,bus,Madigan Annex (b),47.10107222222222,-122.54028888888888,,100,F,Customer,Stop,YES,No,
CREATE,,115a,bus,McKinley & E Johnson (a),47.10264166666667,-122.53804166666667,,100,F,Customer,Stop,YES,No,
CREATE,,115b,bus,McKinley & E Johnson (b),47.102675000000005,-122.537825,,100,F,Customer,Stop,YES,No,
CREATE,,117a,bus,McKinley & Garfield (a),47.10598888888889,-122.5391361111111,,100,F,Customer,Stop,YES,No,
CREATE,,117b,bus,McKinley & Garfield (b),47.106030555555556,-122.53884722222222,,100,F,Customer,Stop,YES,No,
CREATE,,140a,bus,Four Chaplains Chapel (a),47.10297777777778,-122.55570833333333,,100,F,Customer,Stop,YES,No,
CREATE,,140b,bus,Four Chaplains Chapel (b),47.10319166666667,-122.55476666666667,,100,F,Customer,Stop,YES,No,
CREATE,,141a,bus,Hillside at Jackson (a),47.09863055555556,-122.56160277777778,,100,F,Customer,Stop,YES,No,
CREATE,,141b,bus,Hillside at Jackson (b),47.09881111111111,-122.56083611111112,,100,F,Customer,Stop,YES,No,
CREATE,,200a,bus,3rd Division & Pendleton (a),47.092108333333336,-122.56929166666666,,100,F,Customer,Stop,YES,No,
CREATE,,200b,bus,3rd Division & Pendleton (b),47.0919,-122.56904166666666,,100,F,Customer,Stop,YES,No,
CREATE,,201a,bus,National Guard (a),47.09203611111111,-122.57184166666666,,100,F,Customer,Stop,YES,No,
CREATE,,201b,bus,National Guard (b),47.09205555555556,-122.57203333333332,,100,F,Customer,Stop,YES,No,
CREATE,,212a,bus,Stone Education (a),47.094905555555556,-122.57643611111111,,100,F,Customer,Stop,YES,No,
CREATE,,212b,bus,Stone Education (b),47.09475833333334,-122.5765,,100,F,Customer,Stop,YES,No,
CREATE,,217a,bus,Hillside at Colorado (a),47.097033333333336,-122.58324444444445,,100,F,Customer,Stop,YES,No,
CREATE,,217b,bus,Hillside at Colorado (b),47.09715,-122.58414722222221,,100,F,Customer,Stop,YES,No,
CREATE,,220a,bus,Pendleton Shoppette (a),47.09095833333333,-122.57193333333333,,100,F,Customer,Stop,YES,No,
CREATE,,220b,bus,Pendleton Shoppette (b),47.090316666666666,-122.57195,,100,F,Customer,Stop,YES,No,
CREATE,,222a,bus,3rd Division & Bennett (a),47.08938611111111,-122.56780555555555,,100,F,Customer,Stop,YES,No,
CREATE,,223a,bus,5th ASOS (a),47.087425,-122.57087222222222,,100,F,Customer,Stop,YES,No,
CREATE,,223b,bus,5th ASOS (b),47.087697222222225,-122.57077222222222,,100,F,Customer,Stop,YES,No,
CREATE,,224a,bus,DPTMS Training Branch (a),47.08465833333334,-122.5704611111111,,100,F,Customer,Stop,YES,No,
CREATE,,224b,bus,DPTMS Training Branch (b),47.084941666666666,-122.57029166666666,,100,F,Customer,Stop,YES,No,
CREATE,,225a,bus,Soldiers Fieldhouse (a),47.08191666666667,-122.57041666666666,,100,F,Customer,Stop,YES,No,
